学校-老师	课程名称	课程内容与评价,,,,,,
"1001167002-东北师范大学-尹爱青	音乐课堂教学课例评析与研究	""概述：《音乐课堂教学课例评析与研究》课程特点是基于实践到理论提升，再回到实践。既关注音乐课堂教学的热点，又探讨音乐教学理论；既关注学生学习，又考虑教师专业发展。本课程能对中小学一线音乐教师、音乐师范生、研究生和教研员的教学、教研有所帮助。",,,,,,
"评价：感谢尹爱青老师的精彩讲解，感谢团队老师们的辛勤付出，我是偏远地区的一名教师，很难看到这样高规格的课，也很难听到这样高质量、权威级别专家的讲座。通过这次学习我对课堂教学又有了新的认识和理解，同时更看到了自己的差距。如果还有这样的学习机会，我还要参加。""",,,,,,
"8015-华东师范大学-石春轩子	民族声乐进阶密码——石春轩子教学示范课堂	""概述：《民族声乐进阶密码——石春轩子教学示范课堂》通过专业演播棚的摄录，真实体现华师大音乐系丰富生动的音乐课堂。轩子老师结合示范练声、示范演唱、实战点评，打破时空限制，将教学性、实践性和互动性融为一身。通过该音乐课堂，可提升观众音乐专业素养和欣赏水平。",,,,,,
"评价：这种形式对我们在职教师是最佳的培训方式，原以为只是理论教学，没想到老师水平这么高，一对一的辅导指点让人受益了，看了一整天都入迷了！感谢平台，感谢老师的辛苦付出！""",,,,,,
"1001220001-华东理工大学-胡宝国	形势与政策	""概述：该课程将系统讲好：读懂中国式现代化、中国经济高质量发展扎实推进、走好新时代科技自立自强之路、全面认识全过程人民民主、铸牢中华民族共同体意识、当前就业形势与实施就业优先战略、当前国际形势与中国原则立场、把握经济全球化大势、扩大高水平对外开放等内容，帮助当代大学生牢固树立中国特色社会主义“四个自信”，为实现中华民族伟大复兴和全面建成社会主义现代化强国而努力学习。该课程通过国内国际形势教育、社会主义核心价值观教育、党史国史教育、民族精神教育等，能够及时传达中央精神，尽快传导民情民意，能够让学生以较快的速度了解国家层面以及大众层面各方面的情况，加深对于国家、国情整体的理解。",,,,,,
"评价：网站做的垃圾，非常失望，提交系统做的也很差，提交了却现在显示没成绩，浪费时间""",,,,,,
"1001176001-爱课程-焦建利	信息化教学能力之五项修炼	""概述：本课程结合典型案例和简单实用的技术，帮助各级各类学校的一线教师提升信息意识，修炼信息处理能力，特别关注一线教师在开展日常信息化教学所需要的实际技能，进而提升教师在线自主问题解决的能力以及基于网络学习探究的能力。",,,,,,
"评价：内容很有启发性，对我的工作帮助很大""",,,,,,
"8006-湖南大学-郭栋才	基础化学实验(物理化学)	""概述：欢迎各位学习《基础化学实验(物理化学)》！课程教学内容涉及物理化学中的热力学、电化学、动力学及表面化学等相关理论和实验操作，着重培养学员的实验操作能力，严谨的科学作风、实事求是的科学态度以及开拓创新的思维能力。 在此祝各位学员学习愉快，有所收获！ 《基础化学实验（物理化学）》MOOC团队",,,,,,
"评价：(◍ ´꒳` ◍)孙越老师超可爱！！！！讲的非常好我喜欢～我一定好好学化学 好好做实验～""",,,,,,
"1001188001-中国药科大学-柳文媛	药物分析	""概述：药物分析是研究药品质量及其控制规律的科学。本课程学习药品质量观、分析方法原理、化学药物、中药、生物药物分析案例，及分析技术的前沿进展。课程依据《药物分析进展》(2版，柳文媛主编)、《药物分析》(9版，杭太俊主编)制作，可供药学相关专业学生、执业药师、药品检验相关从业人员学习。",,,,,,
"评价：中国药典2020版本已出，如果视频不是提前录制的可不可以适当更新。""",,,,,,
"8007-北京理工大学-王国玉	工程流体力学	""概述：流体力学是力学的一个重要分支，已发展成为一门深入各个科学领域的重要学科，特别是随着航空航天、船舶海运、流体机械、动力工程、水利发电、化学工程、气象预报以及环境保护等行业的发展，迫切需要解决许多有关流体力学的问题，同时也极大地促进了流体力学的发展。欢迎大家进入精彩的流体力学世界！",,,,,,
"评价：能不能在课程结束后还能查看内容，下学期学这个，想好好预习预习""",,,,,,
"9007-西安交通大学-李换琴	线性代数与解析几何	""概述：本课程是由国家级教学团队精心打造而成，以“十一五”国家级规划教材为蓝本，采用启发式、循序渐进式教学手段和教学方式，在轻松愉悦的环境中带您走进线性代数的殿堂，感受数学的美，领悟数学的逻辑思维，收获数学知识。另外还精选了200多道课后难题（考研题）及两套期终考试模拟题进行了讲解。",,,,,,
"评价：课程内容：与通常的线性代数教学不同，加入了解析几何的部分内容。 主要想安利两点：一)习题课。感觉是这门课的精华，老师讲解的很详细，基本上每个推理(计算)步骤都讲到。如果每节习题课都认认真真的上了的话，感觉即使是参加一般学校的线下考试也是可以大概率拿优秀的。对于想夯实自己数学基础的同学，这习题课真的不容错过。二)答疑。我真的佩服老师们的耐心。有时候我看到有些同学明显讲义视频都没看就贸然提问(汗颜，我也曾经是其中一员)，老师仍然不厌其烦地答疑。基本上有问必...""",,,,,,
"8014-国防科技大学-朱健民	高等数学（二）	""概述：正是因为数学的抽象性，人们对数学望而生畏，但也正是数学这一特性，使人们在繁杂的世界中，逐步懂得宇宙发展的奥秘。为满足广大学习者学习高等数学的需求，全国优秀教师、国防科技大学朱健民教授，将在高等数学MOOC视频课堂，用形象生动的语言解释微积分思想形成的过程，与你一道感受数学的无穷魅力！",,,,,,
"评价：最好的高数课程，没有之一。赞赞赞。""",,,,,,
"9013-电子科技大学-高晴	概率论与数理统计	""概述：本课程由电子科技大学概率论与数理统计课程组集体录制。作为国家级精品在线开放课程，本课程针对工科学生概率统计的应用问题进行授课，旨在培养学生知识的应用能力及解决实际问题的能力。绝大部分教师拥有多年丰富的教学经验和不同的科研背景，将为同学们展现丰富多彩的实战内容。",,,,,,
评价：这门课讲的挺好,"要是作业没有互评就更好了""",,,,,
"9007-西安交通大学-李继成	高等数学（一）	""概述：本课程是在国家级精品资源共享课程的基础上，由国家级教学团队精心打造而成的MOOC。由经验丰富的名师领衔，以“十五”国家级规划教材为蓝本，采用启发式、循序渐进式教学手段和教学方式，在轻松愉悦的环境中带您走进微积分的殿堂，感受数学的美，领悟数学的逻辑思维，收获数学知识。",,,,,,
"评价：问一下，这个视频适合同济大学教材第七版高等数学吗？在线等，挺急的""",,,,,,
